Date,SP500,NDX,DJI,EWJ,EEM,EFA,GLD,USO,IEF,HYG,VNQ,SPTSX,SXXP,ASX,UUP,FXE,CPI,FDFD
7/29/2011,1292.28,2362.81,12143.24,42.84,47.11,58.71,158.29,299.36,98.66,91.05,61.04,12945.63,265.25,3026.02,21.03,143.14,3.6,0.11
6/30/2011,1320.64,2325.07,12414.34,41.72,47.6,60.14,146.001,297.92,95.86,91.31,60.1,13300.87,272.86,3096.72,21.22,144.48,3.6,0.01
5/31/2011,1345.2,2372.54,12569.79,41.08,48.53,62.06,149.64,324,96.59,92.4,62.68,13802.88,281.06,3121.07,21.339,143.38,3.6,0.1
4/29/2011,1363.61,2404.08,12810.54,42.12,50,63.46,152.37,361.2,94.47,92.85,61.83,13944.79,283.78,3155.03,20.95,147.54,3.2,0.1
3/31/2011,1325.83,2338.99,12319.73,41.26,48.67,60.08,139.86,340.8,93.01,91.96,58.47,14116.1,275.9,3067.73,21.79,141.16,2.7,0.01
2/28/2011,1327.22,2350.99,12226.34,46.12,45.79,61.55,137.661,313.52,93.37,92.5,59.86,14136.5,286.47,3106.58,22.09,137.43,2.1,0.17
1/31/2011,1286.12,2281.91,11891.93,43.72,45.81,59.44,129.87,308.88,93.8,91.78,57.17,13551.99,280.05,3044.27,22.36,136.38,1.6,0.18
12/31/2010,1257.64,2217.86,11577.51,43.64,47.642,58.22,138.72,312,93.82,90.29,55.37,13443.22,275.81,3062.85,22.71,133.09,1.5,0.01
11/30/2010,1180.55,2117.33,11006.02,41.08,44.78,54.26,135.42,288.32,97.65,88.99,53.54,12952.88,261.83,2861.61,23.5,129.3,1.1,0.22
10/29/2010,1183.26,2124.45,11118.49,40.08,46.12,57.01,132.62,281.36,98.77,90.74,54.55,12676.24,265.96,2936.15,22.37,138.69,1.2,0.22
9/30/2010,1141.2,1998.04,10788.05,39.54,44.77,54.92,127.91,278.72,99.01,89.69,52.08,12368.65,259.72,2867.58,22.84,135.81,1.1,0.16
8/31/2010,1049.33,1767.43,10014.72,37.52,40.06,49.94,122.08,255.36,99.26,87.15,50.3,11913.86,251.31,2696.72,24.12,126.25,1.1,0.22
7/30/2010,1101.6,1864,10465.94,38.52,41.4,51.91,115.49,282.72,96.29,88.62,50.95,11713.43,255.35,2715.36,23.74,129.88,1.2,0.21
6/30/2010,1030.71,1739.14,9774.02,36.8,37.32,46.51,121.68,271.68,95.67,84.9,46.49,11294.42,243.32,2543.47,25.06,121.87,1.1,0.02
5/31/2010,1089.41,1852.39,10136.63,38.04,38.1,48.32,118.881,272.312,93.1,84.61,49.51,11762.99,244.98,2673.17,25.34,122.37,2,0.18
4/30/2010,1186.69,2000.63,11008.61,41.56,42.05,54.41,115.36,330.64,90.72,89.4,52.3,12210.7,259.91,2863.35,23.96,132.77,2.2,0.2
3/31/2010,1169.43,1958.34,10856.63,41.76,42.1225,55.98,108.95,322.32,89.5,88.37,48.81,12037.73,263.57,2910.19,23.8,134.73,2.3,0.14
2/26/2010,1104.49,1818.68,10325.26,39.76,38.96,52.62,109.43,310.56,90.695,87.17,44.63,11629.63,245.8,2736.8,23.64,135.85,2.1,0.12
1/29/2010,1073.87,1741.04,10067.33,39.36,38.28,52.48,105.96,285.12,90.7,86.23,42.27,11094.31,246.96,2660.49,23.45,138.39,2.6,0.12
