Date,SP500,NDX,DJI,EWJ,EEM,EFA,GLD,USO,IEF,HYG,VNQ,SPTSX,SXXP,ASX,UUP,FXE,CPI,FDFD
5/31/2024,5277.51,18536.65,38686.32,68.97,41.79,81.18,215.3,74.82,92.8,77.13,83.24,22269.12,518.17,4517.08,28.67,100.29,3.3,5.31
4/30/2024,5035.69,17440.69,37815.92,67.27,40.99,77.27,211.87,78.38,91.43,76.29,79.61,21714.54,504.89,4430.25,28.98,98.64,3.4,5.31
3/29/2024,5254.35,18254.69,39807.37,71.35,41.08,79.86,205.72,78.73,94.66,77.73,86.48,22167.03,512.67,4338.05,28.37,99.71,3.5,5.31
2/29/2024,5096.27,18043.85,38996.39,69.12,39.99,77.25,189.31,73.36,94.22,77.33,85.55,21363.62,494.61,4163.21,28.09,99.86,3.2,5.31
1/31/2024,4845.65,17137.24,38150.3,66.21,38.39,75.01,188.45,70.92,96.46,77.48,83.89,21021.88,485.67,4173.06,27.83,99.88,3.1,5.31
12/29/2023,4769.83,16825.93,37689.54,64.14,40.21,75.35,191.17,66.65,96.39,77.39,88.36,20958.44,478.99,4232.01,27.09,102.04,3.4,5.31
11/30/2023,4567.8,15947.87,35950.89,62.61,39.56,72.42,188.75,70.14,93.41,75.71,81.73,20236.29,461.61,4053.8,29.29,100.62,3.1,5.31
10/31/2023,4193.8,14409.78,33052.87,58.96,36.7,66.92,184.09,75.02,89.59,72.57,72.92,18873.47,433.66,3954.35,30.03,97.8072,3.2,5.31
9/29/2023,4288.05,14715.24,33507.5,60.29,37.95,68.92,171.45,80.86,91.59,73.72,75.66,19541.27,450.22,4127.24,29.73,97.7,3.7,5.31
8/31/2023,4507.66,15501.07,34721.91,61.64,39.17,71.53,180.02,75.06,94.8,75.28,82.38,20292.62,458.19,4059.53,28.89,100.25,3.7,5.32
7/31/2023,4588.96,15757,35559.53,63.42,41.95,74.46,182.35,73.17,95.74,75.5,85.26,20626.64,471.35,4198.02,28.22,101.6,3.2,5.32
6/30/2023,4450.38,15179.21,34407.6,61.9,39.56,72.5,178.27,63.55,96.6,75.07,83.56,20155.29,461.93,4096.26,28.38,100.81,3,5.07
5/31/2023,4179.83,14254.09,32908.27,59.34,38.19,70.67,182.32,60.63,98.06,74.11,80,19572.24,451.76,4066.8,28.61,98.71,4,5.07
4/28/2023,4169.48,13245.99,34098.16,58.84,39.13,73.62,184.8,67.5,99.73,75.36,83.3,20636.54,466.64,4283.83,27.75,101.81,4.9,4.82
3/31/2023,4109.31,13181.35,33274.15,58.69,39.46,71.52,183.22,66.44,99.12,75.55,83.04,20099.89,457.84,4157.88,27.88,100.19,5,4.82
2/28/2023,3970.15,12042.12,32656.7,55.94,38.23,69.35,169.78,67.21,95.76,74.53,85.72,20221.19,461.11,4304.48,28.42,97.64,6,4.56
1/31/2023,4076.6,12101.93,34086.04,58.67,41.36,71.55,179.41,69.32,99.21,76.33,91.06,20767.38,453.21,4255.72,27.51,100.34,6.4,4.32
12/30/2022,3839.5,10939.76,33147.25,54.44,37.9,65.64,169.64,70.11,95.78,73.63,82.48,19384.92,424.89,4075.13,27.81,98.8,6.5,4.32
11/30/2022,4080.11,12030.06,34589.77,55.8,39.52,67.12,164.81,70.23,97.61,75.66,88.08,20453.26,440.04,4139.65,28.61,96.02,7.1,3.82
10/31/2022,3871.98,11405.57,32732.95,49.99,34.19,59.31,151.91,71.53,94.41,73.43,82.98,19426.14,412.2,3876.48,30.03,91.24,7.7,3.07
9/30/2022,3585.62,10971.22,28725.51,48.85,34.88,56.01,154.67,65.28,95.99,71.39,80.17,18444.22,387.85,3763.48,30.15,90.44,8.2,3.05
8/31/2022,3955,12272.03,31510.43,53.59,39.43,61.7,159.27,73.11,100.94,74.53,93.01,19330.81,415.12,4007.46,29.11,92.78,8.3,2.32
7/29/2022,4130.29,12947.97,32845.13,56.15,39.96,65.72,164.1,78.05,105.17,78.19,98.96,19692.92,438.29,4107.01,28.29,94.44,8.5,2.3
6/30/2022,3785.38,11503.72,30775.43,52.83,40.1,62.49,168.46,80.35,102.3,73.61,91.11,18861.36,407.2,3940.9,27.96,96.91,9.1,1.56
5/31/2022,4132.15,12642.1,32990.12,57.6,42.64,70.01,171.14,85.47,103.32,79.5,99.07,20729.34,443.35,4201.96,27.21,99.35,8.6,0.8
4/29/2022,4131.93,12854.8,32977.21,56.62,42.38,68.64,176.91,77.16,102.81,78.53,103.94,20762,450.39,4185.12,27.57,97.75,8.3,0.32
